projects,exercises,challenges,_num_students,_name,Project 4: Word Guesser,Project (W6-7): SpotiPy,Project (W5): Connect4,Project (W4): The Game of Nimm,Project (W3): Election Year,Project (W2): All the Fruits,Project (W1): Pick Corners,Project (W1): Introducing You,Exercise (W6): Guest List 2,Exercise (W5): Caixa Eletrônico,Exercise (W5) Intro to Connect4,Exercise (W4): Fortune Teller,Exercise (W4): Conversion,Exercise (W4): Calculator,Exercise (W4): Bilheteria,Exercise (W3): Vidente,Exercise (W3): Theorem of Pythagoras,Exercise (W3): Maiúsculas,Exercise (W3): Guest List,Exercise (W3): Favorite Number,Exercise (W2): Two Rows,Exercise (W2): Rogue Fruit 2,Exercise (W2): Rogue Fruit,Exercise (W2): Land's End,Exercise (W2): Introducing PyBot,Exercise (W2): Face North,Exercise (W2): Dança do Quadrado,Exercise (W2): Big Field,Exercise (W1): Turn Left Function,Exercise (W1): Print Name,Exercise (W1): Harvest Your First Fruit,Exercise  (W3): Max Number,Challenge (W4): Fibonacci,Challenge (W3): Hailstone,Challenge (W2): Midpoint PyBot,Challenge (ML): Housing Prices
0.333,0.547,0.0,15,"1 Segunda-feira, 13h40-15h40 Bom Jesus Centro",0.0,0.0,0.067,0.067,0.333,0.733,0.733,0.733,0.533,0.8,0.0,0.0,0.0,0.867,0.4,0.0,0.933,0.333,0.867,0.0,0.933,0.0,0.933,0.933,0.0,0.933,0.933,0.933,0.867,0.8,0.867,0.267,0.0,0.0,0.0,0.0
0.381,0.515,0.138,20,"10 Sexta-feira, 13h30-15h30 Bom Jesus Lourdes",0.0,0.0,0.15,0.3,0.4,0.55,0.9,0.75,0.0,0.45,0.0,0.0,0.0,0.8,0.45,0.0,0.65,0.9,0.9,0.0,1.0,0.0,0.9,0.9,0.0,0.9,1.0,0.95,0.85,0.15,0.95,0.6,0.1,0.05,0.4,0.0
0.2,0.379,0.037,20,"11 Sexta-feira, 16h00-16h50 Bom Jesus Lourdes",0.0,0.0,0.1,0.1,0.15,0.3,0.5,0.45,0.0,0.1,0.0,0.0,0.0,0.6,0.15,0.0,0.55,0.55,0.55,0.0,0.65,0.0,0.7,0.65,0.0,0.55,0.75,0.8,0.65,0.4,0.95,0.5,0.1,0.0,0.05,0.0
0.415,0.511,0.034,22,"2 Segunda-feira, 16h00-16h50 Bom Jesus Centro",0.0,0.0,0.045,0.091,0.5,0.818,0.909,0.955,0.045,0.091,0.0,0.0,0.0,0.545,0.273,0.0,0.818,0.636,0.773,0.0,0.864,0.0,0.909,0.955,0.0,0.955,0.955,0.955,1.0,1.0,0.955,0.545,0.091,0.0,0.045,0.0
0.25,0.452,0.0,13,"3 Terça-feira, 09h30-11h30 SESC",0.0,0.0,0.077,0.077,0.077,0.308,0.769,0.692,0.154,0.769,0.0,0.0,0.0,0.769,0.231,0.0,0.538,0.769,0.692,0.0,0.462,0.0,0.769,0.538,0.0,0.769,0.769,0.769,0.846,0.769,0.846,0.385,0.0,0.0,0.0,0.0
0.158,0.342,0.022,23,"4 Terça-feira, 13h40-15h40 SESC",0.0,0.0,0.0,0.043,0.0,0.174,0.522,0.522,0.0,0.565,0.0,0.0,0.0,0.652,0.174,0.0,0.261,0.739,0.739,0.0,0.522,0.0,0.696,0.348,0.0,0.348,0.652,0.696,0.783,0.435,0.522,0.087,0.043,0.0,0.043,0.0
0.135,0.337,0.0,24,"5 Quarta-feira, 09h30-11h30 SESC",0.0,0.0,0.0,0.0,0.042,0.083,0.708,0.25,0.0,0.042,0.0,0.0,0.0,0.542,0.0,0.0,0.25,0.667,0.792,0.0,0.5,0.0,0.708,0.542,0.0,0.333,0.625,0.792,0.875,0.458,0.875,0.083,0.0,0.0,0.0,0.0
0.238,0.46,0.0,21,"6 Quarta-feira, 13h40-15h40 SESC",0.0,0.0,0.0,0.0,0.0,0.381,0.905,0.619,0.0,0.524,0.0,0.0,0.0,0.762,0.0,0.0,0.333,1.0,0.762,0.0,0.81,0.0,0.952,0.905,0.0,0.571,0.905,0.857,0.952,0.619,1.0,0.095,0.0,0.0,0.0,0.0
0.363,0.482,0.024,21,"7 Quarta-feira, 16h50-17h40 Bom Jesus Centro",0.0,0.0,0.0,0.048,0.381,0.762,0.857,0.857,0.0,0.048,0.0,0.0,0.0,0.762,0.095,0.0,0.81,0.81,0.857,0.0,0.81,0.0,0.857,0.81,0.0,0.762,0.857,0.905,0.857,0.524,1.0,0.81,0.0,0.0,0.095,0.0
0.375,0.556,0.028,9,"8 Quinta-feira, 13h40-15h40 Bom Jesus Lourdes",0.0,0.0,0.0,0.111,0.333,0.667,1.0,0.889,0.0,0.667,0.0,0.0,0.0,0.778,0.333,0.0,0.889,1.0,1.0,0.0,1.0,0.0,1.0,0.778,0.0,0.889,1.0,1.0,1.0,0.333,0.889,0.778,0.0,0.0,0.111,0.0
0.034,0.117,0.0,26,"9 Quinta-feira, 16h50-17h40 Bom Jesus Lourdes",0.0,0.0,0.0,0.0,0.0,0.038,0.115,0.115,0.0,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.038,0.538,0.269,0.0,0.115,0.0,0.115,0.115,0.0,0.115,0.154,0.269,0.192,0.077,0.346,0.038,0.0,0.0,0.0,0.0
0.151,0.285,0.011,92,none,0.0,0.0,0.011,0.033,0.076,0.217,0.467,0.402,0.043,0.185,0.0,0.0,0.0,0.424,0.13,0.0,0.413,0.457,0.5,0.0,0.435,0.0,0.5,0.446,0.0,0.37,0.489,0.533,0.63,0.348,0.674,0.272,0.022,0.0,0.022,0.0
